group,nnm,nm
IC,승주IC,승주
터널,순천1터널,순천1
IC,주암IC,주암
휴게소,주암휴게소(천안),주암
IC,석곡IC,석곡
터널,석곡터널,석곡
IC,곡성IC,곡성
휴게소,곡성휴게소(천안),곡성
IC,옥과IC,옥과
터널,대덕터널,대덕
JC,대덕JC,대덕
IC,창평IC,창평
JC,고서JC,고서
TG,동광주TG,동광주
JC,문흥JC,문흥
IC,동광주IC,동광주
IC,용봉IC,용봉
IC,서광주IC,서광주
IC,동림IC,동림
IC,산월IC,산월
IC,광산IC,광산
IC,북광산IC,북광산
TG,광주TG,광주
IC,장성IC,장성
JC,장성JC,장성
휴게소,백양사휴게소(천안),백양사
IC,백양사IC,백양사
터널,호남터널,호남
IC,내장산IC,내장산
IC,정읍IC,정읍
휴게소,정읍휴게소(천안),정읍
IC,태인IC,태인
IC,금산사IC,금산사
IC,김제IC,김제
휴게소,이서휴게소(천안),이서
IC,서전주IC,서전주
IC,전주IC,전주
IC,삼례IC,삼례
JC,익산JC,익산
IC,익산IC,익산
휴게소,여산휴게소(천안),여산
JC,논산JC,논산
IC,서순천IC,서순천
휴게소,순천휴게소(순천),순천
터널,순천2터널,순천2
IC,승주IC,승주
터널,순천1터널,순천1
IC,주암IC,주암
휴게소,주암휴게소(순천),주암
IC,석곡IC,석곡
터널,석곡터널,석곡
IC,곡성IC,곡성
휴게소,곡성휴게소(순천),곡성
IC,옥과IC,옥과
터널,대덕터널,대덕
JC,대덕JC,대덕
IC,창평IC,창평
JC,고서JC,고서
TG,동광주TG,동광주
JC,문흥JC,문흥
IC,동광주IC,동광주
IC,용봉IC,용봉
IC,서광주IC,서광주
IC,동림IC,동림
IC,산월IC,산월
IC,광산IC,광산
IC,북광산IC,북광산
TG,광주TG,광주
IC,장성IC,장성
JC,장성JC,장성
휴게소,백양사휴게소(순천),백양사
IC,백양사IC,백양사
터널,호남터널,호남
IC,내장산IC,내장산
IC,정읍IC,정읍
휴게소,정읍휴게소(순천),정읍
IC,태인IC,태인
IC,금산사IC,금산사
IC,김제IC,김제
휴게소,이서휴게소(순천),이서
IC,서전주IC,서전주
IC,전주IC,전주
IC,삼례IC,삼례
JC,익산JC,익산
IC,익산IC,익산
휴게소,여산휴게소(순천),여산
JC,논산JC,논산
JC,논산JC,논산
IC,연무IC,연무
IC,서논산IC,서논산
IC,탄천IC,탄천
휴게소,이인휴게소(천안),이인
IC,남공주IC,남공주
JC,공주JC,공주
JC,북공주JC,북공주
터널,정우터널,정우
휴게소,정안휴게소(천안),정안
IC,정안IC,정안
터널,차령터널,차령
IC,남풍세IC,남풍세
IC,남천안IC,남천안
JC,천안JC,천안
JC,논산JC,논산
IC,연무IC,연무
IC,서논산IC,서논산
IC,탄천IC,탄천
휴게소,탄천휴게소(순천),탄천
IC,남공주IC,남공주
JC,공주JC,공주
JC,북공주JC,북공주
터널,정우터널,정우
휴게소,정안휴게소(순천),정안
IC,정안IC,정안
터널,차령터널,차령
IC,남풍세IC,남풍세
IC,남천안IC,남천안
JC,천안JC,천안
점,순천완주선시점,순천완주선시점
IC,동순천IC,동순천
JC,순천JC,순천
터널,서면1터널,서면1
터널,서면2터널,서면2
터널,서면3터널,서면3
터널,서면4터널,서면4
터널,서면5터널,서면5
터널,황전1터널,황전1
터널,황전2터널,황전2
IC,황전IC,황전
휴게소,황전휴게소(완주),황전
터널,황전3터널,황전3
터널,구례1터널,구례1
터널,구례2터널,구례2
IC,구례화엄사IC,구례화엄사
터널,용방1터널,용방1
터널,용방2터널,용방2
터널,천마터널,천마
IC,서남원IC,서남원
JC,남원JC,남원
IC,북남원IC,북남원
터널,사매1터널,사매1
터널,사매2터널,사매2
터널,사매3터널,사매3
터널,사매4터널,사매4
터널,오수1터널,오수1
휴게소,오수휴게소(완주),오수
IC,오수IC,오수
터널,오수2터널,오수2
IC,임실IC,임실
IC,임실IC,임실
터널,관촌1터널,관촌1
터널,관촌1터널,관촌1
터널,관촌2터널,관촌2
터널,관촌2터널,관촌2
휴게소,관촌휴게소(전주),관촌
휴게소,관촌휴게소(전주),관촌
터널,슬치터널,슬치
터널,슬치터널,슬치
터널,용암1터널,용암1
터널,용암1터널,용암1
터널,용암2터널,용암2
터널,용암2터널,용암2
터널,용암3터널,용암3
터널,용암3터널,용암3
터널,용암4터널,용암4
터널,용암4터널,용암4
터널,죽림1터널,죽림1
터널,죽림1터널,죽림1
터널,죽림2터널,죽림2
터널,죽림2터널,죽림2
터널,죽림3터널,죽림3
터널,죽림3터널,죽림3
터널,신리1터널,신리1
터널,신리1터널,신리1
IC,상관IC,상관
터널,신리2터널,신리2
터널,신리3터널,신리3
터널,완산터널,완산
터널,덕진1터널,덕진1
터널,덕진2터널,덕진2
터널,덕진3터널,덕진3
IC,동전주IC,동전주
JC,완주JC,완주
점,순천완주선종점,순천완주선종점
점,순천완주선시점,순천완주선시점
IC,동순천IC,동순천
